passenger_count,timestamp,vehicle_id,stop_id,boarding,alighting
22,2025-07-26 17:50:12.945864,NUM_1087,SENGAR_34,False,True
10,2025-07-17 22:12:04.950887,NUM_1053,SENGAR_4,False,True
27,2025-07-22 09:26:27.907870,NUM_1075,SENGAR_19,False,True
46,2025-07-16 16:38:55.504234,NUM_1051,SENGAR_22,True,False
21,2025-07-28 18:58:29.180423,NUM_1005,SENGAR_18,True,False
41,2025-07-06 10:15:46.544808,NUM_1071,SENGAR_9,True,False
19,2025-07-27 00:46:05.777321,NUM_1057,SENGAR_38,False,True
11,2025-07-21 01:15:25.234641,NUM_1074,SENGAR_39,True,False
21,2025-07-14 16:54:44.122392,NUM_1073,SENGAR_28,True,True
36,2025-07-20 04:52:03.264057,NUM_1006,SENGAR_22,True,False
35,2025-07-22 18:19:34.173730,NUM_1010,SENGAR_7,False,True
42,2025-07-26 08:07:43.147615,NUM_1026,SENGAR_36,False,False
39,2025-07-02 08:35:40.906658,NUM_1059,SENGAR_27,False,True
10,2025-07-30 07:35:41.040612,NUM_1075,SENGAR_26,False,True
40,2025-07-13 13:38:06.802067,NUM_1088,SENGAR_18,True,True
39,2025-07-30 19:28:48.173244,NUM_1012,SENGAR_19,True,True
58,2025-07-01 14:24:20.957994,NUM_1037,SENGAR_6,False,True
57,2025-07-02 15:09:50.555299,NUM_1051,SENGAR_27,True,True
57,2025-07-24 16:29:33.157393,NUM_1083,SENGAR_32,False,True
28,2025-07-06 23:13:49.217305,NUM_1039,SENGAR_27,True,True
37,2025-07-22 02:49:14.427337,NUM_1025,SENGAR_7,True,False
29,2025-07-23 09:33:58.625973,NUM_1075,SENGAR_15,False,False
40,2025-07-24 03:30:47.369043,NUM_1092,SENGAR_36,False,False
11,2025-07-30 00:19:47.751649,NUM_1068,SENGAR_15,True,False
24,2025-07-03 08:36:13.635727,NUM_1081,SENGAR_16,False,True
45,2025-07-19 10:47:44.990648,NUM_1027,SENGAR_9,True,False
8,2025-07-04 21:37:52.598647,NUM_1024,SENGAR_6,True,True
0,2025-07-15 08:27:21.281410,NUM_1084,SENGAR_36,True,True
18,2025-07-18 16:37:23.192802,NUM_1020,SENGAR_18,True,True
1,2025-07-10 22:20:09.933657,NUM_1068,SENGAR_38,True,True
12,2025-07-21 04:24:28.557992,NUM_1065,SENGAR_37,False,False
12,2025-07-18 06:34:07.594527,NUM_1010,SENGAR_3,True,False
33,2025-07-26 00:17:31.704672,NUM_1011,SENGAR_35,True,False
53,2025-07-11 17:59:53.304097,NUM_1082,SENGAR_8,True,True
1,2025-07-25 22:26:09.897699,NUM_1000,SENGAR_11,True,False
24,2025-07-02 13:51:25.128348,NUM_1007,SENGAR_29,True,True
28,2025-07-24 18:43:30.922673,NUM_1060,SENGAR_19,False,True
40,2025-07-04 04:28:30.906148,NUM_1018,SENGAR_6,False,True
43,2025-07-17 13:26:01.062067,NUM_1063,SENGAR_22,True,True
4,2025-07-01 04:06:17.248730,NUM_1014,SENGAR_15,True,True
49,2025-07-04 10:48:49.310874,NUM_1028,SENGAR_29,True,False
9,2025-07-12 04:04:29.062769,NUM_1064,SENGAR_38,True,True
37,2025-07-23 13:32:59.943588,NUM_1040,SENGAR_12,True,True
16,2025-07-26 18:20:18.112568,NUM_1027,SENGAR_30,True,True
28,2025-07-25 00:09:23.810202,NUM_1073,SENGAR_15,False,False
42,2025-07-08 03:57:34.844879,NUM_1086,SENGAR_32,True,False
53,2025-07-11 04:49:02.227133,NUM_1035,SENGAR_17,False,True
5,2025-07-01 12:36:33.267370,NUM_1008,SENGAR_13,False,True
6,2025-07-06 12:17:54.740175,NUM_1019,SENGAR_1,True,False
49,2025-07-21 00:55:13.393386,NUM_1070,SENGAR_7,False,True
2,2025-07-06 18:01:22.330652,NUM_1070,SENGAR_28,True,True
48,2025-07-12 14:35:54.226909,NUM_1023,SENGAR_28,False,True
0,2025-07-12 09:31:55.831515,NUM_1080,SENGAR_19,False,False
28,2025-07-14 10:48:42.856331,NUM_1073,SENGAR_14,True,False
29,2025-07-12 11:08:55.920770,NUM_1007,SENGAR_35,True,False
46,2025-07-26 03:03:21.067917,NUM_1082,SENGAR_24,True,False
24,2025-07-11 21:03:34.637134,NUM_1079,SENGAR_18,False,True
58,2025-07-10 14:02:05.415781,NUM_1076,SENGAR_14,False,False
46,2025-07-24 09:48:34.822116,NUM_1053,SENGAR_31,False,True
59,2025-07-24 15:17:51.748797,NUM_1012,SENGAR_6,True,True
28,2025-07-07 09:04:14.154306,NUM_1011,SENGAR_10,True,True
23,2025-07-03 23:00:34.182868,NUM_1090,SENGAR_1,True,True
15,2025-07-10 15:28:12.947950,NUM_1016,SENGAR_25,True,True
16,2025-07-02 02:30:14.472839,NUM_1074,SENGAR_7,False,True
25,2025-07-21 08:30:17.043437,NUM_1020,SENGAR_36,False,False
1,2025-07-12 00:39:04.055768,NUM_1018,SENGAR_10,False,False
53,2025-07-07 02:38:24.420539,NUM_1011,SENGAR_11,False,True
0,2025-07-01 22:31:14.859541,NUM_1098,SENGAR_22,False,False
37,2025-07-26 00:11:47.118965,NUM_1014,SENGAR_37,True,True
35,2025-07-19 13:00:48.845093,NUM_1062,SENGAR_24,True,True
